Name,Address,Type
caseD_5,0x80038FAC,label
S_SCA_OBJ_7C,0x80038FAC,func
caseD_6,0x80038FB4,label
S_SCA_OBJ_84,0x80038FB4,func
caseD_7,0x80038FBC,label
S_SCA_OBJ_8C,0x80038FBC,func
caseD_0,0x80038FC4,label
S_SCA_OBJ_94,0x80038FC4,func
S_SCA_OBJ_9C,0x80038FCC,func
S_SCA_OBJ_C0,0x80038FF0,label
S_SCA_OBJ_CC,0x80038FFC,func
S_SCA_OBJ_D0,0x80039000,label
S_SCA_OBJ_E0,0x80039010,label
S_SCA_OBJ_F8,0x80039028,label
switchD,0x8003904C,label
caseD_1,0x80039054,label
S_SCA_OBJ_124,0x80039054,func
caseD_2,0x8003905C,label
S_SCA_OBJ_12C,0x8003905C,func
caseD_3,0x80039064,label
S_SCA_OBJ_134,0x80039064,func
caseD_4,0x8003906C,label
S_SCA_OBJ_13C,0x8003906C,func
caseD_5,0x80039074,label
S_SCA_OBJ_144,0x80039074,func
caseD_6,0x8003907C,label
S_SCA_OBJ_14C,0x8003907C,func
caseD_7,0x80039084,label
S_SCA_OBJ_154,0x80039084,func
caseD_0,0x8003908C,label
S_SCA_OBJ_15C,0x8003908C,func
S_SCA_OBJ_164,0x80039094,func
S_SCA_OBJ_188,0x800390B8,label
S_SCA_OBJ_194,0x800390C4,func
S_SCA_OBJ_198,0x800390C8,label
S_SCA_OBJ_1A8,0x800390D8,label
S_SCA_OBJ_1B8,0x800390E8,label
S_SCA_OBJ_1CC,0x800390FC,label
S_SCA_OBJ_1DC,0x8003910C,label
S_SCA_OBJ_1F0,0x80039120,label
S_SCA_OBJ_200,0x80039130,label
S_SCA_OBJ_214,0x80039144,label
S_SCA_OBJ_224,0x80039154,label
S_SCA_OBJ_238,0x80039168,label
S_SCA_OBJ_248,0x80039178,label
S_SCA_OBJ_270,0x800391A0,label
S_SCA_OBJ_288,0x800391B8,func
S_SCA_OBJ_28C,0x800391BC,label
S_SCA_OBJ_29C,0x800391CC,label
S_SCA_OBJ_2C4,0x800391F4,label
S_SCA_OBJ_2DC,0x8003920C,func
S_SCA_OBJ_2E0,0x80039210,label
S_SCA_OBJ_2F0,0x80039220,label
S_SCA_OBJ_318,0x80039248,label
S_SCA_OBJ_330,0x80039260,func
S_SCA_OBJ_334,0x80039264,label
S_SCA_OBJ_344,0x80039274,label
S_SCA_OBJ_36C,0x8003929C,label
S_SCA_OBJ_384,0x800392B4,func
S_SCA_OBJ_388,0x800392B8,label
