Name,Address
S_SRMP_OBJ_8C4,0x800385DC
S_SRMP_OBJ_8D8,0x800385F0
S_SRMP_OBJ_8EC,0x80038604
S_SRMP_OBJ_900,0x80038618
S_SRMP_OBJ_914,0x8003862C
S_SRMP_OBJ_928,0x80038640
S_SRMP_OBJ_93C,0x80038654
S_SRMP_OBJ_950,0x80038668
S_SRMP_OBJ_964,0x8003867C
S_SRMP_OBJ_978,0x80038690
S_SRMP_OBJ_98C,0x800386A4
S_SRMP_OBJ_9A0,0x800386B8
S_SRMP_OBJ_9B4,0x800386CC
S_SRMP_OBJ_9C4,0x800386DC
S_SRMP_OBJ_9D8,0x800386F0
S_SRD_OBJ_1C,0x80038764
S_SRD_OBJ_3C,0x80038784
S_SRD_OBJ_50,0x80038798
S_SRD_OBJ_70,0x800387B8
S_CRWA_OBJ_58,0x8003883C
S_CRWA_OBJ_60,0x80038844
S_CRWA_OBJ_84,0x80038868
S_CRWA_OBJ_BC,0x800388A0
S_CRWA_OBJ_E8,0x800388CC
S_CRWA_OBJ_EC,0x800388D0
S_CRWA_OBJ_FC,0x800388E0
S_CRWA_OBJ_154,0x80038938
S_SI_OBJ_18,0x80038998
S_SI_OBJ_4C,0x800389CC
S_SI_OBJ_70,0x800389F0
S_SI_OBJ_94,0x80038A14
S_SI_OBJ_98,0x80038A18
S_SI_OBJ_A8,0x80038A28
S_SI_OBJ_DC,0x80038A5C
S_SI_OBJ_108,0x80038A88
S_SI_OBJ_12C,0x80038AAC
S_SIA_OBJ_2C,0x80038AEC
S_SIC_OBJ_2C,0x80038B2C
S_SK_OBJ_B4,0x80038C1C
S_SK_OBJ_EC,0x80038C54
S_SK_OBJ_110,0x80038C78
S_SK_OBJ_19C,0x80038D04
S_SK_OBJ_1D4,0x80038D3C
S_GKS_OBJ_10,0x80038D7C
S_GKS_OBJ_40,0x80038DAC
S_GKS_OBJ_48,0x80038DB4
S_GKS_OBJ_84,0x80038DF0
S_STSA_OBJ_40,0x80038EA0
S_STM_OBJ_18,0x80038ECC
S_SCA_OBJ_30,0x80038F60
switchD,0x80038F84
caseD_1,0x80038F8C
caseD_2,0x80038F94
caseD_3,0x80038F9C
caseD_4,0x80038FA4
caseD_5,0x80038FAC
caseD_6,0x80038FB4
caseD_7,0x80038FBC
caseD_0,0x80038FC4
S_SCA_OBJ_C0,0x80038FF0
