Name,Address,Type
SPU_OBJ_7B0,0x80036AD8,label
SPU_OBJ_7D4,0x80036AFC,label
SPU_OBJ_854,0x80036B7C,label
SPU_OBJ_8DC,0x80036C04,label
SPU_OBJ_990,0x80036CB8,label
SPU_OBJ_9E4,0x80036D0C,label
SPU_OBJ_A08,0x80036D30,label
SPU_OBJ_A34,0x80036D5C,label
SPU_OBJ_A3C,0x80036D64,label
SPU_OBJ_A88,0x80036DB0,label
SPU_OBJ_AD0,0x80036DF8,label
SPU_OBJ_B64,0x80036E8C,label
S_M_INIT_OBJ_14,0x80036F0C,label
S_M_WSA_OBJ_54,0x80036FA0,label
S_M_WSA_OBJ_88,0x80036FD4,label
S_M_WSA_OBJ_120,0x8003706C,label
S_M_WSA_OBJ_1BC,0x80037108,label
S_M_WSA_OBJ_1E4,0x80037130,label
S_M_WSA_OBJ_2A0,0x800371EC,label
S_M_WSA_OBJ_2C8,0x80037214,label
S_M_WSA_OBJ_348,0x80037294,label
S_M_WSA_OBJ_38C,0x800372D8,label
S_M_WSA_OBJ_3C8,0x80037314,label
S_M_WSA_OBJ_3EC,0x80037338,label
S_M_WSA_OBJ_4A0,0x800373EC,label
S_M_WSA_OBJ_4E8,0x80037434,label
S_M_WSA_OBJ_4F0,0x8003743C,label
S_M_WSA_OBJ_564,0x800374B0,label
S_M_WSA_OBJ_59C,0x800374E8,label
S_M_WSA_OBJ_5B8,0x80037504,label
S_M_WSA_OBJ_5C0,0x8003750C,label
S_M_WSA_OBJ_5C8,0x80037514,label
S_M_INT_OBJ_34,0x80037594,label
S_M_INT_OBJ_68,0x800375C8,label
S_M_INT_OBJ_B8,0x80037618,label
S_M_INT_OBJ_E0,0x80037640,label
S_M_INT_OBJ_100,0x80037660,label
S_M_INT_OBJ_118,0x80037678,label
S_M_INT_OBJ_124,0x80037684,label
S_M_INT_OBJ_150,0x800376B0,label
S_M_INT_OBJ_184,0x800376E4,label
S_M_INT_OBJ_1C8,0x80037728,label
S_M_INT_OBJ_1D4,0x80037734,label
S_M_INT_OBJ_1EC,0x8003774C,label
S_M_INT_OBJ_218,0x80037778,label
S_M_INT_OBJ_258,0x800377B8,label
S_M_INT_OBJ_2A8,0x80037808,label
S_M_INT_OBJ_2F8,0x80037858,label
S_SAV_OBJ_2C,0x800378B0,label
S_SAV_OBJ_DC,0x80037960,label
S_SAV_OBJ_124,0x800379A8,label
S_SAV_OBJ_1A4,0x80037A28,label
S_SAV_OBJ_1FC,0x80037A80,label
S_SNC_OBJ_14,0x80037AA0,label
S_R_OBJ_28,0x80037B04,label
S_R_OBJ_4C,0x80037B28,label
S_SR_OBJ_28,0x80037B64,label
S_SR_OBJ_48,0x80037B84,label
S_SR_OBJ_94,0x80037BD0,label
S_M_UTIL_OBJ_1C,0x80037C28,label
S_M_UTIL_OBJ_6C,0x80037C78,label
S_M_UTIL_OBJ_74,0x80037C80,label
S_M_UTIL_OBJ_A4,0x80037CB0,label
S_M_UTIL_OBJ_F8,0x80037D04,label
S_M_UTIL_OBJ_100,0x80037D0C,label
S_SRMP_OBJ_60,0x80037D78,label
S_SRMP_OBJ_80,0x80037D98,label
S_SRMP_OBJ_B0,0x80037DC8,label
S_SRMP_OBJ_B8,0x80037DD0,label
S_SRMP_OBJ_100,0x80037E18,label
S_SRMP_OBJ_13C,0x80037E54,label
S_SRMP_OBJ_158,0x80037E70,label
S_SRMP_OBJ_190,0x80037EA8,label
S_SRMP_OBJ_1E4,0x80037EFC,label
S_SRMP_OBJ_208,0x80037F20,label
